DEVISION_CODE;Date;CodeClient;NANClienS;Categorie;AdrIssI;CodePostal;Ville;Pays;CodeLangue;Telephone;Email;NumeroFacture;DateFacture;DateEcheance;Ecriture;Devise;Montant
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA464262;8/08/14;30/10/14;364251;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA466200;21/08/14;30/10/14;365200;EUR;398,3
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA466668;27/08/14;30/10/14;366567;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA468444;29/08/14;30/10/14;367344;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA482062;24/09/14;29/11/14;372061;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA484449;29/09/14;29/11/14;373349;EUR;325,88
DEV1;7/10/14 13:30;222;EZ VUB;GROUP3;JAARBIIKJAAM 101;1090;JETTE;BE;FRA;0032/24775520; ;TA484892;1/10/14;30/12/14;373892;EUR;724,19
DEV1;7/10/14 13:30;277;CHU DE SIVALI;GROUP3;AVIMEI MAX BESIT 34;7100;LA LOUVIERE;BE;FRA;0032/64276332; ;TA462069;10/07/14;8/10/14;362069;EUR;37,07
DEV1;7/10/14 13:30;277;CHU DE SIVALI;GROUP3;AVIMEI MAX BESIT 34;7100;LA LOUVIERE;BE;FRA;0032/64276332; ;TA464262;8/08/14;6/11/14;364252;EUR;19,97
DEV1;7/10/14 13:30;277;CHU DE SIVALI;GROUP3;AVIMEI MAX BESIT 34;7100;LA LOUVIERE;BE;FRA;0032/64276332; ;TA466269;26/08/14;24/11/14;366269;EUR;7,99
DEV1;7/10/14 13:30;277;CHU DE SIVALI;GROUP3;AVIMEI MAX BESIT 34;7100;LA LOUVIERE;BE;FRA;0032/64276332; ;TA480204;16/09/14;15/12/14;370103;EUR;19,97
DEV1;7/10/14 13:30;797;EZ NIKALEES;GROUP3;KASTHEISSTRAAT 5;9140;TEMSE;BE;NED;0032/37607525; ;TA462668;3/07/14;1/10/14;361567;EUR;815,12
DEV1;7/10/14 13:30;797;EZ NIKALEES;GROUP3;KASTHEISSTRAAT 5;9140;TEMSE;BE;NED;0032/37607525; ;TA462948;9/07/14;7/10/14;361947;EUR;9,27
DEV1;7/10/14 13:30;797;EZ NIKALEES;GROUP3;KASTHEISSTRAAT 5;9140;TEMSE;BE;NED;0032/37607525; ;TA464006;5/08/14;3/11/14;364005;EUR;815,12
DEV1;7/10/14 13:30;797;EZ NIKALEES;GROUP3;KASTHEISSTRAAT 5;9140;TEMSE;BE;NED;0032/37607525; ;TA480880;18/09/14;17/12/14;370770;EUR;3,99
DEV1;7/10/14 13:30;732;EZ HEILIGE SENILIE;GROUP3;S HIRIMBAAM 172;2840;REET;BE;NED;0032/38809011; ;TA464496;29/07/14;27/10/14;363395;EUR;543,41
DEV1;7/10/14 13:30;732;EZ HEILIGE SENILIE;GROUP3;S HIRIMBAAM 172;2840;REET;BE;NED;0032/38809011; ;TA482924;26/09/14;25/12/14;372924;EUR;407,56
DEV1;7/10/14 13:30;737;CHU BRUGNENN - HUDERS;GROUP3;TJACI A.VAM KIHECHTIM 4;1020;LAEKEN;BE;FRA;0032/24773444; ;TA422820;23/04/13;23/05/13;311710;EUR;259,52
DEV1;7/10/14 13:30;737;CHU BRUGNENN - HUDERS;GROUP3;TJACI A.VAM KIHECHTIM 4;1020;LAEKEN;BE;FRA;0032/24773444; ;TA426402;6/06/13;6/07/13;315302;EUR;333,67
DEV1;7/10/14 13:30;737;CHU BRUGNENN - HUDERS;GROUP3;TJACI A.VAM KIHECHTIM 4;1020;LAEKEN;BE;FRA;0032/24773444; ;TA429268;23/07/13;22/08/13;319168;EUR;287,5
DEV1;7/10/14 13:30;737;CHU BRUGNENN - HUDERS;GROUP3;TJACI A.VAM KIHECHTIM 4;1020;LAEKEN;BE;FRA;0032/24773444; ;ERR426402;21/10/13;21/10/13;S00013232;EUR;-183,04
DEV1;7/10/14 13:30;737;CHU BRUGNENN - HUDERS;GROUP3;TJACI A.VAM KIHECHTIM 4;1020;LAEKEN;BE;FRA;0032/24773444; ;TA466280;26/08/14;25/09/14;366270;EUR;287,5
DEV1;7/10/14 13:30;799;EZ NERIE NIDDELERES CENKUS;GROUP3;KASTHEISSTRAAT 5;9140*3;TEMSE;BE;NED;0032/37804021; ;TA464962;20/08/14;29/11/14;364951;EUR;652,09
DEV1;7/10/14 13:30;799;EZ NERIE NIDDELERES CENKUS;GROUP3;KASTHEISSTRAAT 5;9140*3;TEMSE;BE;NED;0032/37804021; ;TA468690;2/09/14;29/12/14;367690;EUR;815,12
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA462686;4/07/14;29/10/14;361676;EUR;113,8
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA464822;31/07/14;29/10/14;363721;EUR;113,8
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA444862;5/08/14;5/08/14;444762;EUR;-113,8
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA466668;27/08/14;29/11/14;366568;EUR;113,8
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA468296;4/09/14;29/12/14;368196;EUR;56,9
DEV1;7/10/14 13:30;792;CH DE NAUSCRAN;GROUP3;AVIMEI DI FICAMT 49;7700*2;MOUSCRON;BE;FRA;0032/56858216; ;TA480204;16/09/14;29/12/14;370104;EUR;170,7
DEV1;7/10/14 13:30;773;JEN YKERNEN ZKH VZW;GROUP3;BRIIKISTRAAT 12;8900*3;IEPER;BE;NED;0032/57356534; ;TA468689;8/09/14;7/11/14;368579;EUR;76,68
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA408224;22/03/13;21/04/13;308214;EUR;336,12
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA440266;8/10/13;7/11/13;330255;EUR;2079,94
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA442468;23/01/14;22/02/14;341457;EUR;687,4
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA468296;26/05/14;25/06/14;357196;EUR;526,35
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA468988;28/05/14;27/06/14;357987;EUR;203,68
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA460694;25/06/14;25/07/14;360594;EUR;143,75
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA462082;10/07/14;9/08/14;362071;EUR;724,54
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA464264;7/08/14;6/09/14;364154;EUR;553,51
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA444904;13/08/14;13/08/14;444904;EUR;-35,93
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA468694;9/09/14;9/10/14;368693;EUR;690,57
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA446449;9/09/14;9/09/14;445339;EUR;-724,54
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA468804;10/09/14;10/10/14;368804;EUR;392,09
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA468806;10/09/14;10/10/14;368805;EUR;4102,34
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA446400;10/09/14;10/10/14;445400;EUR;-78,65
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA480206;16/09/14;16/10/14;370106;EUR;461,58
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA482844;23/09/14;23/10/14;371733;EUR;255,45
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA482062;24/09/14;24/10/14;372062;EUR;482,47
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA482064;24/09/14;24/10/14;372063;EUR;228,72
DEV1;7/10/14 13:30;2992;EKAS ENSVERKIE;GROUP1;BAICHAETSISTIIMWIK 13;2540;HOVE;BE;NED;0032/34559461; ;TA484682;30/09/14;30/10/14;373582;EUR;737,58
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA464422;11/08/14;10/09/14;364322;EUR;818,32
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA468806;10/09/14;10/10/14;368806;EUR;301,99
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA468808;10/09/14;10/10/14;368807;EUR;145,57
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA482064;24/09/14;24/10/14;372064;EUR;208,76
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA482066;24/09/14;24/10/14;372065;EUR;61,86
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA482066;24/09/14;24/10/14;372066;EUR;146,91
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA484894;1/10/14;31/10/14;373894;EUR;854,09
DEV1;7/10/14 13:30;2995;SUKERKHER;GROUP1;REI DI J AMKI 1;5000*2;NAMUR;BE;FRA;0032/81857470; ;TA484688;6/10/14;5/11/14;374578;EUR;8,01
DEV1;7/10/14 13:30;2997;CASASI - KCIE GRIBEUNANS;GROUP1;AVIMEI KRIBAEMAMT 18;1150;WOLUWE-SAINT-PIERRE;BE;FRA;0032/27706739; ;2X462266;17/06/14;17/06/14;S00014136;EUR;-412,35
DEV1;7/10/14 13:30;2997;CASASI - KCIE GRIBEUNANS;GROUP1;AVIMEI KRIBAEMAMT 18;1150;WOLUWE-SAINT-PIERRE;BE;FRA;0032/27706739; ;TA468694;9/09/14;9/10/14;368694;EUR;259,36
DEV1;7/10/14 13:30;2997;CASASI - KCIE GRIBEUNANS;GROUP1;AVIMEI KRIBAEMAMT 18;1150;WOLUWE-SAINT-PIERRE;BE;FRA;0032/27706739; ;TA468808;10/09/14;10/10/14;368808;EUR;268,81
DEV1;7/10/14 13:30;2997;CASASI - KCIE GRIBEUNANS;GROUP1;AVIMEI KRIBAEMAMT 18;1150;WOLUWE-SAINT-PIERRE;BE;FRA;0032/27706739; ;TA484066;2/10/14;1/11/14;374055;EUR;52,82
DEV1;7/10/14 13:30;2997;KCIE BERBEY***;GROUP1;REI D ARQEIT 27;5000*2;NAMUR;BE;FRA;0032/81221066; ;2 X 464898;14/07/14;14/07/14;S00014159;EUR;-132,34
DEV1;7/10/14 13:30;2932;EKAS S. DE WEEL BVBE;GROUP1;VAARDRIIS 11;9860*5;OOSTERZELE;BE;NED;0032/93628858; ;TA490282;14/02/13;14/02/13;390181;EUR;-229,54
DEV1;7/10/14 13:30;2932;EKAS S. DE WEEL BVBE;GROUP1;VAARDRIIS 11;9860*5;OOSTERZELE;BE;NED;0032/93628858; ;TA480466;17/09/14;17/10/14;370456;EUR;234,54
DEV1;7/10/14 13:30;2932;KIERRE SEBRE DERNA-CASNESIQUE;GROUP6;JIS CAEQEIJAES;FR-81506;LAVAUR CEDEX;FR;FRA;0033/61755208; ;TA468692;9/09/14;9/10/14;368691;EUR;4379,13
DEV1;7/10/14 13:30;2972;KCIE NAUVELLE;GROUP1;REI WAYIZ 165;1070;ANDERLECHT;BE;FRA;0032/25580760; ;TA444864;5/08/14;5/08/14;444763;EUR;-40,7
DEV1;7/10/14 13:30;2972;KCIE NAUVELLE;GROUP1;REI WAYIZ 165;1070;ANDERLECHT;BE;FRA;0032/25580760; ;TA468809;10/09/14;10/10/14;368809;EUR;411,45
DEV1;7/10/14 13:30;2979;EKAS REYNEERSS NV;GROUP1;WISTIJSIBAAM 61/B;3271*1;AVERBODE;BE;NED;0032/13771011; ;TA468820;10/09/14;10/10/14;368810;EUR;127,63
DEV1;7/10/14 13:30;2979;EKAS DESSEN JAS;GROUP1;BASIIIKJAAM 22;3270*1;SCHERPENHEUVEL;BE;NED;0032/13771416; ;TA482449;25/09/14;25/10/14;372439;EUR;20,28
DEV1;7/10/14 13:30;2979;EKAS DESSEN JAS;GROUP1;BASIIIKJAAM 22;3270*1;SCHERPENHEUVEL;BE;NED;0032/13771416; ;TA482440;25/09/14;25/10/14;372440;EUR;13,06
DEV1;7/10/14 13:30;2975;KERRY;GROUP1;REI KIMIRAJ KRATRY 1;1030;SCHAERBEEK/SCHAARBEEK;BE;FRA;0032/27343978; ;TA468822;10/09/14;10/10/14;368811;EUR;275,97
DEV1;7/10/14 13:30;2975;KERRY;GROUP1;REI KIMIRAJ KRATRY 1;1030;SCHAERBEEK/SCHAARBEEK;BE;FRA;0032/27343978; ;TA484684;30/09/14;30/10/14;373583;EUR;300,72
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA448648;20/12/13;18/02/14;337537;EUR;1552,91
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA448080;18/03/14;17/05/14;348070;EUR;732,25
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA460040;20/06/14;19/08/14;360040;EUR;37,07
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA462862;18/07/14;16/09/14;362752;EUR;7,49
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464244;25/07/14;23/09/14;363234;EUR;2516,14
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464824;31/07/14;29/09/14;363723;EUR;41274,01
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464006;5/08/14;4/10/14;364006;EUR;4909,23
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464008;5/08/14;4/10/14;364007;EUR;1836,01
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464008;5/08/14;4/10/14;364008;EUR;7326,34
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464009;5/08/14;4/10/14;364009;EUR;6640,13
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464266;7/08/14;6/10/14;364155;EUR;5660,58
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464266;7/08/14;6/10/14;364156;EUR;9097,34
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464268;7/08/14;6/10/14;364157;EUR;2247,2
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464269;7/08/14;6/10/14;364159;EUR;2078,56
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464424;11/08/14;10/10/14;364323;EUR;687,6
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464464;12/08/14;11/10/14;364364;EUR;2395,8
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464844;19/08/14;18/10/14;364734;EUR;1656,85
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464846;19/08/14;18/10/14;364735;EUR;5183,2
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464846;19/08/14;18/10/14;364736;EUR;9147,46
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464848;19/08/14;18/10/14;364737;EUR;35647,3
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464849;19/08/14;18/10/14;364739;EUR;1786,92
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464840;19/08/14;18/10/14;364740;EUR;409,68
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464842;19/08/14;18/10/14;364741;EUR;2295,28
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464842;19/08/14;18/10/14;364742;EUR;2728,36
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA464966;20/08/14;19/10/14;364955;EUR;718,58
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA466282;26/08/14;25/10/14;366271;EUR;1229,05
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA466282;26/08/14;25/10/14;366272;EUR;8757,45
DEV1;7/10/14 13:30;2977;GRAUKE NULSIKHERNE;GROUP1;RAETI DI JIMMIK 900;1070;ANDERLECHT;BE;FRA;0032/25299211; ;TA466284;26/08/14;25/10/14;366273;EUR;5476,75
